cid	size	cluster
Objective_influence	1476	falsify.v, counterfeit.v, resuscitate.v, remedy.v, forge.v, nurse.v, fake.v, slice.v, beat.v, hit.v, ease.v, pioneer.v, bayonet.v, palliate.v, justify.v, chirp.v, chirrup.v, chuckle.v, order.v, cluck.v, set up.v, coo.v, croak.v, croon.v, crow.v, cry.v, sell short.v, drone.v, gasp.v, grate.v, groan.v, growl.v, grunt.v, gurgle.v, originate.v, hiss.v, hoot.v, howl.v, moan.v, coin.v, hammer.v, murmur.v, discover.v, purr.v, invent.v, rap.v, rasp.v, rattle.v, roar.v, rumble.v, scream.v, screech.v, shriek.v, shrill.v, snarl.v, convert.v, transform.v, knock.v, invigorate.v, renew.v, silence.v, jerk.v, propel.v, splash.v, butcher.v, punt.v, restore.v, roll.v, give.v, infect.v, slam.v, launch.v, smack.v, raise.v, erect.v, splatter.v, fashion.v, piece together.v, fit together.v, make.v, thud.v, graze.v, construct.v, crash.v, put together.v, plow.v, weld.v, run.v, build.v, bang.v, hit.v, garrotte.v, assemble.v, slap.v, glue.v, strike.v, spatter.v, clash.v, clang.v, ram.v, invade.v, overrun.v, jail.v, put away.v, find.v, incarcerate.v, hit.v, pick off.v, shoot.v, imprison.v, slow.v, protract.v, represent.v, extend.v, rotate.v, confiscate.v, vibrate.v, clear.v, discard.v, bring to attention.v, dislodge.v, drain.v, dab.v, nail.v, point.v, spin.v, eject.v, twirl.v, eliminate.v, show.v, shake.v, shorten.v, install.v, demonstrate.v, swing.v, empty.v, seesaw.v, evacuate.v, drape.v, present[medical].v, cut short.v, evict.v, daub.v, tape.v, exhibit.v, turn.v, excise.v, mulct.v, expel.v, roll.v, ticket.v, expunge.v, extract.v, squeeze.v, oust.v, swirl.v, pluck.v, rock.v, prise.v, amerce.v, wave.v, assault.v, juggle.v, purge.v, jiggle.v, remove.v, skim.v, snatch.v, strip.v, depict.v, wiggle.v, swipe.v, fine.v, take.v, pin.v, withdraw.v, unload.v, expurgate.v, wash.v, shave.v, rinse.v, roust.v, dust.v, attack.v, scrape.v, rip.v, tear.v, cut.v, staple.v, present.v, file.v, charge.v, disgorge.v, flush.v, weed.v, amputate.v, plaster.v, wrap.v, pack.v, spread.v, stuff.v, smear.v, glue.v, fall (upon).v, fly.v, sail.v, load.v, ride.v, drive.v, cover.v, cruise.v, anoint.v, dust.v, adorn.v, rivet.v, steep.v, tether.v, bind.v, manacle.v, blast.v, soak.v, toot.v, lift.v, honk.v, handcuff.v, double.v, marinate.v, drop.v, beep.v, fetter.v, slash.v, clash.v, accede.v, cement.v, crank.v, lower.v, detach.v, sign.v, gum.v, play.v, tinkle.v, raise.v, creak.v, reduce.v, clang.v, blare.v, peep.v, ring.v, shackle.v, invest.v, reassure.v, rake.v, resume.v, blunt.v, beleaguer.v, euthanize.v, siege.v, impel.v, asphyxiate.v, dispatch.v, dull.v, smother.v, drown.v, assassinate.v, starve.v, suffocate.v, slay.v, besiege.v, wrest.v, eliminate.v, liquidate.v, suicide.v, terminate.v, behead.v, exterminate.v, dice.v, wrench.v, murder.v, kill.v, sharpen.v, annihilate.v, merge.v, toboggan.v, taxi.v, sum up.v, lump.v, tack.v, intermix.v, treat.v, tear.v, sledge.v, skate.v, pilfer.v, row.v, raft.v, meld.v, punt.v, pedal.v, outline.v, scrape.v, snitch.v, parachute.v, amalgamate.v, paddle.v, rehabilitate.v, rip.v, motor.v, alleviate.v, share.v, commingle.v, cycle.v, consolidate.v, caravan.v, canoe.v, twist.v, join.v, pinch.v, boat.v, bike.v, summarize.v, boil down.v, replace.v, swipe.v, mold.v, coil.v, flux.v, conflate.v, roll (into).v, say.v, unhitch.v, curl.v, jumble.v, blend.v, thieve.v, exchange.v, admix.v, pulp.v, filch.v, mash.v, substitute.v, coalesce.v, unify.v, turn.v, purloin.v, fix.v, fuse.v, wind.v, fry.v, cure.v, roast.v, switch.v, grill.v, steal.v, change.v, swap out.v, unite.v, lift.v, combine.v, loop.v, put together.v, fabricate.v, bake.v, prepare.v, mix.v, heal.v, cook.v, make.v, bring together.v, whip up.v, compound.v, concoct.v, dash off.v, sign.v, list.v, bombard.v, rust.v, corrode.v, tarnish.v, oxidize.v, hit.v, forget.v, slice.v, stick.v, grab.v, secure.v, commandeer.v, mince.v, fuse.v, seize.v, take.v, cinch.v, recompense.v, translate.v, draw.v, bond.v, detach.v, lash.v, discipline.v, manage.v, snort.v, abscond (with).v, splutter.v, make off (with).v, sputter.v, decontaminate.v, squawk.v, deforest.v, bag.v, squeak.v, gut.v, cop.v, squeal.v, abstract.v, thunder.v, rustle.v, titter.v, strip.v, trill.v, trumpet.v, shred.v, twitter.v, wail.v, core.v, tie.v, pickpocket.v, warble.v, rid.v, wheeze.v, skin.v, whimper.v, peel.v, whine.v, disembowel.v, whoop.v, adjust.v, yell.v, yelp.v, purge.v, flog.v, bone.v, guillotine.v, copy.v, duplicate.v, photocopy.v, reduplicate.v, tweak.v, chew.v, replicate.v, reproduce.v, shoplift.v, cleanse.v, calibrate.v, denude.v, run off.v, misappropriate.v, move up.v, clone.v, move back.v, grate.v, divest.v, embezzle.v, reschedule.v, unload.v, nick.v, put off.v, eviscerate.v, hold over.v, debug.v, put over.v, pit.v, snatch.v, hold up.v, masticate.v, crush.v, hang.v, defrost.v, clear.v, drain.v, degrease.v, anhydrate.v, delouse.v, evacuate.v, devein.v, void.v, expurgate.v, dry up.v, dehydrate.v, weed.v, debone.v, empty.v, dry off.v, seed.v, dry out.v, hurt.v, dehumidify.v, mill.v, disarm.v, desiccate.v, crunch.v, scalp.v, chafe.v, rub.v, massage.v, dry.v, tickle.v, descale.v, itch.v, scratch.v, put to death.v, flush.v, expunge.v, stalk.v, stone.v, form.v, drench.v, dent.v, douse.v, catch on fire.v, coach.v, spark.v, humidify.v, cram.v, soak.v, study.v, set fire.v, tutor.v, flatten.v, educate.v, dampen.v, fold.v, squish.v, squash.v, crumple.v, mold.v, ignite.v, light.v, souse.v, torch.v, kindle.v, curl.v, get back (at).v, teach.v, slam.v, master.v, drop.v, roll.v, warp.v, set on fire.v, start.v, school.v, wet.v, crush.v, launch.v, hit.v, get even.v, scrunch.v, instruct.v, stick.v, bend.v, transfer.v, saturate.v, train.v, learn.v, moisten.v, shape.v, cook up.v, widen.v, swell.v, make.v, manufacture.v, produce.v, shrink.v, increase.v, narrow.v, grow.v, blow up.v, hang.v, leave.v, decrease.v, stretch.v, block.v, impact.v, attach.v, compress.v, condense.v, abandon.v, dominate.v, cover.v, scatter.v, induce.v, thaw.v, flux.v, freeze.v, execute.v, melt.v, change.v, evaporate.v, solidify.v, defrost.v, distribute.v, dissolve.v, disperse.v, influence.v, liquefy.v, bicycle.v, change.v, exchange.v, lead.v, incite.v, balloon.v, convert.v, set up.v, talk.v, make.v, shroud.v, try.v, expunge.v, hide.v, strike.v, erase.v, mask.v, camouflage.v, lift.v, fold.v, do something (to/with).v, conceal.v, kill.v, manipulate.v, pair.v, bomb.v, infiltrate.v, delete.v, throw together.v, sound.v, harden.v, affect.v, thin.v, shoot.v, trumpet.v, moisturize.v, influence.v, thicken.v, push.v, curdle.v, swell.v, toll.v, soften.v, cut.v, curtail.v, clot.v, jell.v, coagulate.v, congeal.v, indurate.v, sop.v, inspissate.v, diminish.v, hydrate.v, keep.v, set.v, discharge.v, move.v, knock down.v, jot.v, say.v, fire.v, speak.v, utter.v, write up.v, write down.v, type out.v, write in.v, write out.v, print.v, type.v, type up.v, chronicle.v, type in.v, print out.v, print up.v, step up.v, get down.v, splash.v, shut up.v, inflate.v, spray.v, restrict.v, splatter.v, squirt.v, sprinkle.v, drizzle.v, shower.v, pile.v, heap.v, jam.v, pump.v, scatter.v, make up.v, plant.v, asphalt.v, butter.v, tile.v, surface.v, coat.v, reshape.v, wallpaper.v, fill.v, suffuse.v, deform.v, douse.v, tie.v, strew.v, crowd.v, lock.v, flood.v, pave.v, paint.v, varnish.v, enlarge.v, glaze.v, extradite.v, gild.v, confine.v, panel.v, embellish.v, shift.v, wash.v, wax.v, yoke.v, plank.v, accessorize.v, modify.v, dress.v, dilate.v, imprison.v, lengthen.v, vary.v, immure.v, tangle.v, magnify.v, alter.v, develop.v, braid.v, synthesise.v, spatter.v, found.v, seed.v, cram.v, sow.v, produce.v, hold.v, affront.v, brush.v, generate.v, set up.v, detain.v, establish.v, create.v, inject.v, make.v, hang.v, expand.v, chain.v, bray.v, cackle.v, elect.v, sew.v, bark.v, bellow.v, determine.v, bleat.v, burble.v, regulate.v, rend.v, bawl.v, fracture.v, paste.v, affix.v, command.v, control.v, snap.v, obligate.v, bind.v, jump.v, lay (into).v, commit.v, strike.v, set (upon).v, answer.v, rejoin.v, abbreviate.v, storm.v, assail.v, buttress.v, counter.v, brace.v, prolong.v, drag out.v, ambush.v, fasten.v, raid.v, destroy.v, break out.v, annihilate.v, sign.v, free.v, babble.v, exhaust.v, obliterate.v, bluster.v, lay waste.v, take out.v, chant.v, add.v, blast.v, chatter.v, drawl.v, gabble.v, putrefy.v, gibber.v, destroy.v, jabber.v, lisp.v, mouth.v, mumble.v, promote.v, devastate.v, mutter.v, natter.v, prattle.v, rant.v, ruin.v, rave.v, shout.v, enhance.v, blow up.v, simper.v, vaporize.v, sing.v, slur.v, stammer.v, stutter.v, whisper.v, level.v, blabber.v, do in.v, retain.v, sear.v, deep fry.v, plank.v, demolish.v, hire.v, scorch.v, use.v, commission.v, employ.v, take on.v, convey.v, use up.v, take out.v, take apart.v, split.v, dismantle.v, singe.v, subcontract.v, expend.v, contract.v, sliver.v, sign up.v, rive.v, sign on.v, raze.v, melt.v, unmake.v, dethrone.v, reward.v, throne.v, overthrow.v, take over.v, acknowledge.v, topple.v, vest.v, retort.v, coronate.v, punish.v, crown.v, oust.v, enthrone.v, respond.v, come back.v, revolt.v, put together.v, mutiny.v, reply.v, depose.v, charge.v, pledge.v, entertain.v, constrain.v, dribble.v, cajole.v, trick.v, include.v, shoot.v, oblige.v, bully.v, fool.v, arrange.v, spill.v, do what (to/with).v, amuse.v, deceive.v, add.v, hustle.v, squirt.v, terrorize.v, cheat.v, fire.v, badger.v, divert.v, manipulate.v, sprinkle.v, lure.v, do.v, array.v, deploy.v, blackmail.v, spray.v, format.v, flatter.v, pump.v, con.v, form.v, bracket.v, sexually assault.v, spew.v, wire.v, dupe.v, create.v, assemble.v, mount.v, fire off.v, produce.v, harass.v, drip.v, join.v, connect.v, launch.v, require.v, generate.v, link.v, yield.v, defraud.v, issue.v, chip.v, block off.v, rip.v, counter-attack.v, cordon off.v, cleave.v, splinter.v, barricade.v, signal.v, break up.v, nod.v, dissect.v, set free.v, motion.v, beckon.v, consume.v, gesticulate.v, break down.v, gesture.v, rip up.v, wave.v, fragment.v, blockade.v, dissolve.v, advance.v, tear up.v, mature.v, tear.v, break apart.v, break.v, shred.v, improve.v, let go.v, perfect.v, develop.v, devour.v, smash.v, can.v, shatter.v, dismiss.v, fire.v, shitcan.v, shiver.v, sack.v, terminate.v, let go.v, lay off.v, give the boot.v, squander.v, release.v, discharge.v, downsize.v, deplete.v, organize.v, spend.v, clink.v, click.v, clatter.v, wash.v, floss.v, kill.v, rattle.v, interrupt.v, bathe.v, rustle.v, lave.v, thump.v, shower.v, jab.v, pluck.v, collide.v, rap.v, moisturize.v, cut.v, cut off.v, comb.v, shave.v, wax.v, crumble.v, shampoo.v, manicure.v, wake.v, brush [teeth].v, wake up.v, soap.v, cleanse.v, groom.v, cap.v, file.v, brush [hair].v, get up.v, plait.v, boil.v, awaken.v, rouse.v, button.v, buckle.v, close.v, open.v, unfreeze.v, pass.v, scald.v, truss.v, char.v, yoke.v, tack on.v, concatenate.v, fry.v, append.v, brown.v, adhere.v, coddle.v, strap.v, paint.v, plaster.v, hook.v, untie.v, parboil.v, microwave.v, saute.v, hitch.v, anchor.v, moor.v, take [picture].v, agglutinate.v, solder.v, spin.v, weld.v, fix.v, develop.v, poach.v, toast.v, reprocess.v, process.v, galvanize.v, treat.v, grill.v, enrich.v, weaponize.v, steep.v, stew.v, run out.v, stain.v, dye.v, broil.v, cast.v, eat up.v, simmer.v, etch.v, go through.v, boil.v, pulverize.v, roast.v, barbecue.v, bake.v, cook.v, sculpt.v, steam.v, reinforce.v, fortify.v, make.v, unhinge.v, strengthen.v, retaliate.v, weaken.v, unmoor.v, unchain.v, unfasten.v, gag.v, enclose.v, emplace.v, plan.v, arrange.v, plunge.v, package.v, put.v, bestow.v, stick.v, shoulder.v, warehouse.v, sheathe.v, pot.v, shower.v, torment.v, revenge.v, avenge.v, undo.v, cram.v, rub.v, jam.v, beef up.v, heap.v, untie.v, dust.v, brush.v, unhook.v, drape.v, decouple.v, dab.v, drizzle.v, lock up.v, put out.v, embed.v, revive.v, breathe fresh life.v, breathe new life.v, knot.v, resuscitate.v, chill.v, tie.v, reheat.v, warm up.v, release.v, overheat.v, publish.v, cool down.v, heat up.v, refrigerate.v, cool.v, heat.v, blow up.v, appear.v, warm.v, blow.v, bury.v, handcuff.v, explode.v, deposit.v, detonate.v, reinstate.v, straitjacket.v, restart.v, reawaken.v, tie up.v, shackle.v, deactivate.v, daub.v, sit.v, boot.v, perch.v, shut off.v, stable.v, shelve.v, pocket.v, garage.v, file.v, offend.v, crate.v, insult.v, cage.v, box.v, archive.v, bottle.v, tack.v, bin.v, tie.v, billet.v, concern.v, bag.v, call name.v, wrap.v, tuck.v, stuff.v, stow.v, stash.v, stand.v, smear.v, situate.v, set.v, rest.v, position.v, plant.v, run through.v, twist.v, place.v, drug.v, pile.v, park.v, swipe.v, activate.v, pack.v, incapacitate.v, sting.v, elbow.v, turn off.v, lodge.v, load.v, mutilate.v, lean.v, welt.v, lay.v, transfix.v, poison.v, insert.v, inject.v, flagellate.v, implant.v, cane.v, disable.v, biff.v, immerse.v, knock out.v, impale.v, hose.v, maim.v, flog.v, total.v, turn on.v, torture.v, beat up.v, break.v, book.v, summons.v, rejuvenate.v, revitalize.v, grind.v, utilise.v, flake.v, avail oneself.v, operate.v, refresh.v, apply.v, reinvigorate.v, limit.v, dry.v, exercise.v, apprehend.v, arrest.v, bust.v, nab.v, collar.v, cop.v, rescue.v, end.v, braise.v, shoot down.v, save.v, jot down.v, author.v, down.v, write.v, blanch.v, lift.v, pen.v, compose.v, draft.v, rot.v, electrocute.v, quiet.v, pummel.v, wound.v, shush.v, knee.v, fling.v, slap.v, haul.v, abort.v, squash.v, round up.v, amass.v, smack.v, rape.v, horsewhip.v, herd.v, drag.v, collect.v, scoot.v, silence.v, convene.v, communicate.v, pull.v, hush.v, bring together.v, force.v, belt.v, hush up.v, do away with.v, buffet.v, bash.v, assemble.v, shut up.v, gather.v, thwack.v, drive.v, strike.v, pelt.v, carve.v, indicate.v, damage.v, pass on.v, nick.v, quiet down.v, cut.v, pare.v, disseminate.v, maul.v, fillet.v, knock.v, lash.v, hurl.v, chop.v, move.v, rend.v, cube.v, bruise.v, yank.v, jab.v, injure.v, dent.v, sprinkle.v, gash.v, put an end to.v, fracture.v, name.v, press.v, cuff.v, throw.v, tap.v, finger.v, cudgel.v, strew.v, shove.v, deface.v, crack.v, mar.v, clout.v, tug.v, accredit.v, claw.v, appoint.v, chop.v, toss.v, butt.v, attract.v, rule.v, arrest.v, break.v, designate.v, scratch.v, batter.v, draw.v, vandalise.v, whip.v, hurt.v, slide.v, stone.v, spear.v, run.v, nudge.v, signal.v, stab.v, smash.v, punch.v, pitch.v, score.v, knife.v, sabotage.v, kick.v, spread.v, thrust.v, key.v, push.v, chip.v, control.v, unzip.v, lace.v, unbuckle.v, endanger.v, uncork.v, seal.v, unscrew.v, preserve.v, embalm.v, mummify.v, salt.v, cure.v, zip.v, postpone.v, imperil.v, can.v, pickle.v, advance.v, defer.v, jeopardise.v, delay.v, flog.v, sever.v, split.v, cane.v, scourge.v, separate.v, segregate.v, segment.v, section.v, partition.v, unfasten.v, part.v, fasten.v, spank.v, bisect.v, paddle.v, divide.v, crucify.v, cut.v, operate.v, run.v, chuck.v, decapitate.v, massacre.v, slaughter.v, lynch.v, boil.v, burn.v, catapult.v, manage.v, cast.v, bulwark.v, bludgeon.v, crush.v, club.v, dominate.v, tie.v
Endeavor_failure	9	go bust.v, go under.v, founder.v, fold.v, close its doors.v, collapse.v, fail.v, flop.v, close down.v
Getting_vehicle_underway	6	launch.v, lift (off).v, cast off.v, weigh anchor.v, pull (out).v, take (off).v
Win_prize	1	win.v
Chatting	25	quibble.v, fight.v, chat.v, negotiate.v, bicker.v, confer.v, argue.v, quarrel.v, debate.v, yak.v, shoot the breeze.v, discuss.v, gab.v, gossip.v, talk (to).v, joke.v, wrangle.v, talk.v, speak.v, squabble.v, communicate.v, converse.v, row.v, parley.v, talk over.v
Required_event	13	be supposed (to).v, got to.v, better.v, need.v, had better.v, ought to.v, must.v, shall.v, oughta.v, have to.v, gotta.v, best.v, hafta.v
Silencing	7	shut up.v, quiet.v, silence.v, shush.v, hush.v, quiet down.v, hush up.v
Intentionally_create	90	falsify.v, counterfeit.v, forge.v, fake.v, find.v, pioneer.v, accede.v, jot down.v, author.v, sign.v, write.v, fix.v, pen.v, fry.v, roast.v, compose.v, draft.v, jot.v, originate.v, grill.v, say.v, speak.v, translate.v, utter.v, draw.v, write up.v, coin.v, write down.v, discover.v, type out.v, invent.v, write in.v, write out.v, print.v, put together.v, type.v, bake.v, fabricate.v, type up.v, chronicle.v, prepare.v, type in.v, cook.v, print out.v, make.v, whip up.v, print up.v, get down.v, concoct.v, dash off.v, cook up.v, sign.v, list.v, make.v, manufacture.v, produce.v, paint.v, tie.v, take [picture].v, copy.v, duplicate.v, photocopy.v, reduplicate.v, replicate.v, reproduce.v, run off.v, clone.v, cast.v, raise.v, erect.v, fashion.v, develop.v, piece together.v, fit together.v, synthesise.v, make.v, construct.v, put together.v, found.v, weld.v, build.v, produce.v, sculpt.v, assemble.v, generate.v, glue.v, set up.v, establish.v, create.v, make.v
Cutting	9	chop.v, cube.v, carve.v, cut.v, dice.v, pare.v, slice.v, mince.v, fillet.v
Reserving	3	reserve.v, hold.v, book.v
Cause_emotion	5	affront.v, concern.v, offend.v, call name.v, insult.v
Commerce_sell	6	sell.v, auction.v, retail.v, vend.v, lease.v, rent.v
Be_in_agreement_on_action	1	strike.v
Conduct	9	mistreat.v, use.v, conduct.v, carry oneself.v, behave.v, act up.v, act.v, treat.v, misbehave.v
Memorization	3	commit to memory.v, memorise.v, learn.v
Activity_start	12	launch (into).v, commence.v, begin.v, get started.v, take up.v, enter.v, initiate.v, open.v, strike up.v, start.v, swing (into).v, set about.v
Gathering_up	8	gather.v, round up.v, amass.v, herd.v, collect.v, convene.v, bring together.v, assemble.v
Make_noise	105	yap.v, yammer.v, whistle.v, whisper.v, whinny.v, whine.v, whimper.v, wail.v, ululate.v, twitter.v, tweet.v, trumpet.v, toll.v, titter.v, tinkle.v, thunder.v, thump.v, squeal.v, squeak.v, squawk.v, sough.v, sob.v, snort.v, snore.v, snigger.v, snicker.v, snarl.v, sizzle.v, scrunch.v, screech.v, scrape.v, rustle.v, roar.v, rattle.v, rasp.v, quack.v, purr.v, plop.v, toot.v, plonk.v, play.v, plash.v, honk.v, peep.v, sound.v, peal.v, cry.v, boom.v, patter.v, hem and haw.v, neigh.v, beep.v, moo.v, ring.v, moan.v, scream.v, mewl.v, sploosh.v, mew.v, clack.v, laugh.v, crepitate.v, keen.v, hum.v, howl.v, yowl.v, yodel.v, yelp.v, hoot.v, hiss.v, hawk.v, gurgle.v, guffaw.v, grunt.v, growl.v, gobble.v, giggle.v, gasp.v, fizzle.v, drone.v, crunch.v, croon.v, croak.v, creak.v, cough.v, coo.v, click.v, clatter.v, clash.v, clang.v, chuckle.v, chirp.v, cheep.v, chatter.v, caw.v, caterwaul.v, cackle.v, burble.v, bray.v, bleat.v, blast.v, blare.v, bellow.v, babble.v, bark.v
Colonization	5	populate.v, repopulate.v, colonize.v, settle.v, people.v
Atonement	2	expiate.v, atone.v
Assistance	12	aid.v, serve.v, cater.v, support.v, succor.v, abet.v, bolster.v, help.v, help out.v, aid and abet.v, buttress.v, assist.v
Cause_to_move_in_place	16	seesaw.v, vibrate.v, wiggle.v, swirl.v, rock.v, wave.v, juggle.v, turn.v, spin.v, jiggle.v, twirl.v, roll.v, shake.v, swing.v, rotate.v, squeeze.v
Losing	2	lose.v, misplace.v
Pardon	1	pardon.v
Exporting	1	export.v
Hiding_objects	7	hide.v, block.v, shroud.v, conceal.v, mask.v, camouflage.v, cover.v
Taking_sides	6	back.v, believe (in).v, endorse.v, support.v, oppose.v, side.v
Emitting	10	discharge.v, exhale.v, emanate.v, radiate.v, exude.v, excrete.v, void.v, secrete.v, give off.v, emit.v
Halt	2	halt.v, stop.v
Ceasing_to_be	18	dissolve.v, dissipate.v, pass away.v, asphyxiate.v, croak.v, kick the bucket.v, perish.v, disappear.v, croak it.v, expire.v, go away.v, suffocate.v, drown.v, decease.v, starve.v, fade.v, vanish.v, die.v
Finish_competition	5	win.v, lose.v, show.v, fold.v, tie.v
Provide_lodging	4	put up.v, lodge.v, host.v, house.v
Surpassing	8	eclipse.v, exceed.v, outshine.v, better.v, surpass.v, outdo.v, pale.v, outstrip.v
Come_down_with	5	come down (with).v, catch.v, get.v, acquire.v, contract.v
Making_faces	7	smirk.v, smile.v, scowl.v, pout.v, grimace.v, grin.v, frown.v
Amassing	4	accumulate.v, stockpile.v, amass.v, hoard.v
Closure	15	button.v, unzip.v, lace.v, unfasten.v, unbuckle.v, buckle.v, cap.v, fasten.v, close.v, open.v, uncork.v, tie.v, unscrew.v, seal.v, zip.v
