cid	size	cluster
Desirability	77	superlative.a,pitiful.a,magnificent.a,idyllic.a,poor.a,fair.a,atrocious.a,mediocre.a,decent.a,well.adv,crap.n,okay.a,superb.a,average.a,standout.n,tolerable.a,shit.n,second-rate.a,stupendous.a,third-rate.a,garbage.n,astounding.a,gem.n,fantastic.a,fine.a,execrable.a,gold.n,terrific.a,killer.a,great.a,awesome.a,so-so.a,substandard.a,outstanding.a,astonishing.a,junk.n,awful.a,best thing since sliced bread.n,shitty.a,terrible.a,worthless.a,inferior.a,splendid.a,horrible.a,top-notch.a,sensational.a,bad.a,tip-top.a,first-rate.a,incredible.a,crappy.a,amazing.a,tremendous.a,suck.v,appalling.a,rock.v,good.a,super.a,lamer.n,excellent.a,lame.a,rotten.a,uncool.a,dreadful.a,fabulous.a,excellence.n,wonderful.a,desirable.a,extraordinary.a,sweet.a,cool.a,nasty.a,marvellous.a,pathetic.a,miserable.a,unfortunate.a,popular.a
Product_development	2	develop.v,development.n
Social_event_collective	1	date.n
Emergency	1	emergency.n
Symmetrical_collective_reciprocality	0	
Surviving	5	weather.v,ride out.v,live [through].v,survive.v,survival.n
Experimentation	9	subject.n,control.n,study.n,experiment.v,experiment.n,test.v,hypothesis.n,control group.n,treatment.n
Biological_entity	4	life.n,human.a,lifeform.n,organism.n
Responsibility	3	behind.prep,responsible.a,responsibility.n
Provide_lodging	4	lodge.v,host.v,put up.v,house.v
Terrorism	9	terror.n,terrorist.n,bioterrorism.n,ecoterrorist [environmentalist].n,bioterrorist.n,ecoterrorism [environmentalism].n,ecoterrorist.n,ecoterrorism.n,terrorism.n
Performers	4	actress.n,player.n,musician.n,actor.n
Within_distance	1	within.prep
Being_detached	6	detached.a,unattached.a,unfused.a,unmoored.a,disconnected.a,loose.a
Part_inner_outer	18	inside.a,exterior.a,interior.n,interior.a,outside.n,lining.n,skin.n,shell.n,central.a,inside.n,center.n,inner.a,exterior.n,outside.a,outer.a,middle.n,perimeter.n,surface.n
Competition	9	competitor.n,competition.n,player.n,rivalry.n,rival.n,compete.v,competitive.a,play.v,challenge.n
Departing	15	depart.v,escape.v,departure.n,decamp.v,vamoose.v,vanish.v,exit.n,skedaddle.v,disappear.v,leave.v,disappearance.n,emerge.v,escape.n,exit.v,exodus.n
Point_of_dispute	3	question.n,concern.n,issue.n
Suicide_attack	6	kamikaze [attack].n,suicide bomber.n,kamikaze [person].n,suicide bombing.n,suicide attacker.n,suicide attack.n
Sharing	1	share.v
Protecting	14	safeguard.v,bulwark.n,shelter.n,cover.n,secure.v,shield.v,safeguard.n,protection [entity].n,protect.v,guard.v,protection [event].n,shelter.v,shield.n,insulate.v
Asymmetric_reciprocality	0	
Speed_description	12	smart.a,speed.n,fast.a,speedy.a,pace.n,quick.a,breakneck.a,speedily.adv,rate.n,quickly.adv,rapid.a,rapidly.adv
Wearing	48	undressed.a,sport.v,clothed.a,unshod.a,nakedness.n,braless.a,nude.a,nudity.n,attired.a,unclad.a,decked out.a,unclothed.a,naked.a,barefooted.a,gloveless.a,have on.v,undress.n,got on.v,wear.v,bare.v,have got on.v,topless.a,barefoot.a,in.prep,bare-armed.a,bare.a,masked.a,sockless.a,bareheaded.a,hatless.a,costumed.a,clad.a,shoeless.a,shirtless.a,bare-breasted.a,robed.a,garbed.a,dolled up.a,with on.idio,swathed.a,hooded.a,hatted.a,swaddled.a,dressed.a,bare-chested.a,gloved.a,barelegged.a,coatless.a
Grooming	23	wash.v,cleanse.v,moisturize.v,plait.v,comb.v,manicure.v,groom.v,wax.v,brush [teeth].v,pedicure.n,file.v,shampoo.v,bathe.v,brush [hair].v,soap.v,pluck.v,shower.v,ablution.n,lave.v,floss.v,manicure.n,shave.v,facial.n
Getting_scenario	0	
Imposing_obligation	8	charge.v,bind.v,oblige.v,commit.v,charge.n,obligate.v,pledge.v,require.v
Deception_scenario	0	
Businesses	14	boutique.n,shop.n,establishment.n,company.n,corporation.n,operation.n,paper.n,bank.n,mill.n,business.n,store.n,firm.n,practice.n,chain.n
Process_uncompleted_state	0	
People_by_age	16	baby.n,child.n,coot.n,youth.n,spring chicken.n,kid.n,adolescent.n,newborn.n,elderly.n,adult.n,boy.n,infant.n,geezer.n,teenager.n,neonate.n,youngster.n
Coming_to_believe	21	gather.v,guess.n,deduce.v,realization.n,guess.v,infer.v,ascertain.v,inference.n,learn.v,realize.v,conclusion.n,surmise.v,deduction.n,figure out.v,find.v,work out.v,conclude.v,puzzle out.v,strike.v,determine.v,speculate.v
Direction	16	forward.adv,east.n,way.n,west.n,true north.n,up.adv,outward.adv,south.adv,north.adv,east.adv,right.adv,south.n,left.adv,down.adv,west.adv,north.n
Prevarication	26	dissemble.v,fib.v,misrepresent.v,hoodwink.v,joke.v,pull the wool over (someone's) eyes.idio,deception.n,bullshit artist.n,kid.v,dissembler.n,prevaricate.v,misrepresentation.n,prevarication.n,deceptive.a,shit.v,pull (someone's) leg.idio,lie.v,tell.v,equivocate.v,fool.v,equivocation.n,fib.n,bullshit.v,deceive.v,mislead.v,lie.n
Regard	9	impression.n,appreciate.v,regard.n,esteem.n,regard.v,think.v,opinion.n,find.v,appreciative.a
Substance_by_phase	12	liquefied.a,plasma.n,liquid.a,thawed.a,frozen.a,solid.n,defrosted.a,solidified.a,gas.n,gaseous.a,melted.a,liquid.n
Intentionally_create	15	produce.v,creation.n,found.v,establish.v,synthesise.v,set up.v,synthesis.n,make.v,create.v,generate.v,develop.v,establishment.n,development.n,production.n,generation.n
Timetable	4	itinerary.n,timetable.n,schedule.n,agenda.n
Region_with_portal	0	
Measure_scenario	0	
Getting_up	2	rise.v,get up.v
Becoming_separated	3	split.v,divide.v,separate.v
Deny_or_grant_permission	22	permit.v,the green light.n,the go-ahead.n,the go ahead.n,approve.v,the okay.n,suffer.v,leave.n,mandate.n,greenlight.v,permission.n,disallow.v,forbid.v,okay.v,prohibit.v,clear.v,prohibition.n,restrict.v,approval.n,authorize.v,outlaw.v,sanction [allow].v
Hair_configuration	26	braid.n,cut.a,wave.n,flaxen.a,cropped.a,curl.v,hairstyle.n,blonde.a,curl.n,braided.a,hairdo.n,lock.n,blond.a,haircut.n,part.n,styled.a,hair.n,topknot.n,curly.a,cut.n,ponytail.n,plait.n,wavy.a,golden.a,tress.n,pigtail.n
Emotion_active	7	fret.v,fuss.v,obsession.n,agonize.v,worry.v,lose sleep.v,obsess.v
Patrolling	4	patrol.v,police.v,patrol [act].n,patrol [entity].n
Studying	1	study.v
Giving_scenario	0	
Quarreling	22	bickering.n,wrangle.n,fight.n,disagreement.n,altercation.n,dispute.n,disputation.n,argument.n,fight.v,quarrel.n,argue.v,quibble.v,row.n,wrangling.n,row.v,wrangle.v,spat.n,squabble.v,squabble.n,tiff.n,bicker.v,quarrel.v
Praiseworthiness	18	estimable.a,praiseworthy.a,lamentable.a,abominable.a,blameworthy.a,commendable.a,pitiable.a,detestable.a,reprehensible.a,honorable.a,meritorious.a,despicable.a,deplorable.a,creditable.a,laudable.a,admirable.a,execrable.a,dishonorable.a
Emotions_of_mental_activity	10	drudgery.n,relish.v,groove.v,enjoy.v,pleasure.n,delight.n,savour.v,enjoyment.n,delight (in).v,luxuriate.v
Sleep	25	hibernation.n,kip.n,doze.v,nap.n,nap.v,sleep [event].n,snooze.v,slumber.n,catnap.v,snooze.n,slumber.v,asleep.a,hibernate.v,out like a light.a,forty winks.n,sleep [quantity].n,kip.v,unconscious.a,drowse.v,out.a,sleep.v,shut-eye.n,doze.n,drowse.n,catnap.n
Being_pregnant	0	
Reforming_a_system	5	overhaul.v,reform.v,overhaul.n,reform.n,restructure.v
Domination	0	
Turning_out	3	turn out.v,end up.v,prove.v
Pre_giving	0	
Purpose	18	goal.n,use.n,application.n,determined.a,aim.n,objective.n,bent.a,in order.adv,target.n,aim.v,intention.n,intend.v,object.n,intent.a,plan.n,mean.v,purpose.n,plan.v
Employment_start	0	
Public_services	2	public service.n,service.n
Medical_professionals	37	psychotherapist.n,psychologist.n,shaman.n,neonatologist.n,urologist.n,doctor.n,speech therapist.n,physician.n,nurse.n,nephrologist.n,gerontologist.n,cardiologist.n,surgeon.n,chiropractor.n,neurologist.n,anesthesiologist.n,obstetrician.n,homeopathist.n,gynaecologist.n,oncologist.n,immunologist.n,orthopaedist.n,pediatrician.n,allergist.n,proctologist.n,endocrinologist.n,psychiatrist.n,psychoanalyst.n,radiologist.n,rheumatologist.n,family practitioner.n,dermatologist.n,therapist.n,gastroenterologist.n,radiation oncologist.n,ophthalmologist.n,midwife.n
Employee_scenario	0	
Arithmetic	0	
Unattributed_information	11	rumor.v,purported.a,reportedly.adv,proverbial.a,ostensibly.adv,allegedly.adv,rumor.n,supposedly.adv,alleged.a,purportedly.adv,ostensible.a
Attempt_suasion	18	pressure.n,cajole.v,advocate.v,admonish.v,exhort.v,suggest.v,enjoin.v,advise.v,pressure.v,prevail.v,lobby.v,recommend.v,press.v,suggestion.n,urge.v,beg.v,wheedle.v,badger.v
Intentionally_affect	3	do something (to/with).v,do what (to/with).v,do.v
Emergency_fire	2	wildfire.n,wildland fire.n
Cause_bodily_experience	7	scratch.v,rub.v,itch.v,hurt.v,tickle.v,massage.v,chafe.v
Dodging	4	sidestep.n,sidestep.v,dodge.n,dodge.v
Clothing	163	teddy.n,cossie.n,tights.n,jumpsuit.n,kimono.n,kaftan.n,uniform.n,costume.n,motley.n,get-up.n,ensemble.n,surplice.n,galosh.n,welly.n,wellington.n,slipper.n,sandal.n,sneaker.n,stiletto.n,boot.n,shoe.n,gumboot.n,clog.n,footwear.n,sari.n,sarong.n,poncho.n,abaya.n,jerkin.n,crinoline.n,muff.n,cowl.n,tutu.n,t-shirt.n,polo-neck.n,g-string.n,flip-flops.n,one-piece.n,two-piece.n,flannels.n,rags.n,silks.n,satins.n,cottons.n,tweeds.n,wrap.n,ermines.n,shirt.n,muslins.n,blouse.n,tippet.n,cloak.n,doublet.n,cape.n,tatters.n,coat.n,neckerchief.n,greatcoat.n,breeches.n,overcoat.n,sweatshirt.n,jacket.n,sweatpants.n,vest.n,tracksuit.n,tie.n,alb.n,hose.n,stole.n,hosiery.n,chasuble.n,clothing.n,cope.n,clothes.n,buskin.n,finery.n,pallium.n,suit.n,gauntlet.n,necktie.n,cravat.n,neckwear.n,briefs.n,cummerbund.n,scarf.n,shawl.n,bow-tie.n,pantyhose.n,garter.n,leggings.n,panties.n,knickers.n,slip.n,sweater.n,jumper.n,cardigan.n,pullover.n,blazer.n,kilt.n,swimsuit.n,bikini.n,robe.n,bathrobe.n,frock.n,apron.n,miniskirt.n,jodhpurs.n,fishnet.n,legwarmers.n,regalia.n,raiment.n,dress.n,apparel.n,shorts.n,attire.n,vestment.n,livery.n,outfit.n,garment.n,undergarment.n,stocking.n,underclothing.n,trousers.n,underclothes.n,pants.n,underwear.n,togs.n,chemise.n,undies.n,shift.n,petticoat.n,pinafore.n,mitten.n,sock.n,mitt.n,glove.n,skirt.n,bodice.n,corset.n,parka.n,culottes.n,windbreaker.n,windcheater.n,raincoat.n,pyjama.n,nightie.n,nightdress.n,nightgown.n,gown.n,nightwear.n,lingerie.n,camisole.n,waistcoat.n,jeans.n,overall.n,ballgown.n,coverall.n,garb.n,tunic.n,smock.n,sundress.n,bra.n,brassiere.n
Limitation	2	limitation.n,limit.n
Bounded_region	0	
Daring	10	audaciousness.n,audacious.a,hazard.v,risk.v,chance.v,chance.n,audacity.n,risk.n,venture.v,dare.v
Accompaniment	6	along with.prep,alone.a,together.adv,with.prep,in combination.prep,singly.adv
Degree	21	so.adv,heavily.adv,a lot.adv,kind of.adv,way.adv,somewhat.adv,a little.adv,sopping (wet).a,stone (cold).n,fully.adv,that.adv,particular.a,totally.adv,a little bit.adv,as hell.adv,crystal (clear).n,great.a,in part.adv,very.adv,far.adv,dirt (poor).n
Experiencer_obj	136	stimulate.v,stun.v,surprise.v,terrify.v,thrill.v,unnerve.v,unsettle.v,upset.v,bore.v,wow.v,vex.v,vexation.n,shocker.n,sicken.v,stupefy.v,tickle.v,trouble.v,sting.v,solace.v,nettle.v,abash.v,aggravate.v,exhilarate.v,faze.v,embitter.v,flabbergast.v,floor.v,rankle.v,nonplus.v,mortify.v,madden.v,incense.v,petrify.v,revolt.v,sober.v,repel.v,torment.v,beguile.v,traumatize.v,interest.v,intrigue.v,offend.v,intimidate.v,mystify.v,perturb.v,stir.v,fluster.v,flummox.v,outrage.v,surprise.n,boggle.v,trouble.n,fulfill.v,crush.v,devastate.v,arouse.v,grate.v,appeal.v,worry.v,harass.v,engage.v,stagger.v,destroy.v,annoy.v,demolish.v,antagonize.v,agonize.v,bewitch.v,encourage.v,astonish.v,wound.v,astound.v,kill.v,baffle.v,let down.v,bewilder.v,calm.v,captivate.v,charm.v,cheer.v,comfort.v,conciliate.v,confuse.v,console.v,dazzle.v,delight.v,depress.v,disappoint.v,discomfit.v,disconcert.v,discourage.v,dishearten.v,displease.v,distress.v,disturb.v,embarrass.v,enchant.v,enrage.v,entertain.v,enthrall.v,exasperate.v,excite.v,fascinate.v,frighten.v,frustrate.v,gall.v,gladden.v,gratify.v,hearten.v,humiliate.v,aggrieve.v,impress.v,infuriate.v,irk.v,irritate.v,mollify.v,pacify.v,perplex.v,placate.v,alarm.v,please.v,puzzle.v,anger.v,rattle.v,reassure.v,rile.v,sadden.v,satisfy.v,scare.v,amaze.v,shake.v,shame.v,shock.v,soothe.v,spook.v,startle.v
Travel	20	tour.n,travel.n,safari.n,tour.v,pilgrimage.n,commute.v,travel.v,trip.n,voyage.n,excursion.n,junket.n,jaunt.n,getaway.n,expedition.n,voyage.v,odyssey.n,journey.v,traveler.n,journey.n,peregrination.n
Fear	11	terror.n,freaked.a,scared.a,dread.n,fear.n,frightened.a,nervous.a,terrified.a,live in fear.v,afraid.a,apprehension.n
Rejuvenation	16	reinvigorate.v,reawaken.v,revitalization.n,restore.v,revitalize.v,rejuvenation.n,reinvigoration.n,renew.v,refresh.v,breathe fresh life.v,invigorate.v,revival.n,rejuvenate.v,breathe new life.v,resuscitation.n,resuscitate.v
Tasting	2	try.v,taste.v
Ingestion	36	slurp.n,imbibe.v,dine.v,nurse.v,ingestion.n,nibble.v,ingest.v,drink.v,gobble.v,devour.v,gulp.v,sip.n,slurp.v,consume.v,eat.v,gulp.n,nosh.v,swig.n,lap.v,sup.v,tuck.v,swig.v,down.v,have.v,guzzle.v,sip.v,munch.v,breakfast.v,swill.v,feast.v,put away.v,snack.v,put back.v,feed.v,quaff.v,lunch.v
Revenge	18	vengeful.a,get back (at).v,retribution.n,retaliation.n,revenge.n,revengeful.a,get even.v,retributory.a,vindictive.a,revenge.v,payback.n,avenge.v,revenger.n,retaliate.v,retributive.a,sanction.n,avenger.n,vengeance.n
Sidereal_appearance	3	rise.n,come up.v,rise.v
People_by_jurisdiction	5	citizen.n,national.n,parishioner.n,subject.n,citizenry.n
Carry_goods	2	stock.v,carry.v
Scheduling	3	arrange.v,schedule.v,set up.v
Calendric_unit	63	June.n,spring.n,autumn.n,midday.n,April.n,Saturday.n,month.n,day.n,one day.n,Friday.n,dusk.n,calendar year.n,today.n,daybreak.n,weeknight.n,year.n,century.n,millennium.n,afternoon.n,February.n,noon.n,leap year.n,October.n,holiday.n,December.n,Sunday.n,winter.n,January.n,Thursday.n,fortnight.n,school year.n,era.n,yesterday.n,September.n,November.n,second.n,tomorrow.n,hour.n,quarter.n,night.n,eve.n,decade.n,August.n,minute.n,Monday.n,May.n,age.n,dawn.n,tonight.n,summer.n,weekday.n,evening.n,July.n,week.n,midnight.n,March.n,rush hour.n,weekend.n,Tuesday.n,twilight.n,morn.n,Wednesday.n,morning.n
Communication_noise	59	croon.v,screech.v,shriek.v,crow.v,shrill.v,snarl.v,cry.v,snort.v,drone.v,splutter.v,sputter.v,scream.v,squawk.v,squeak.v,croak.v,squeal.v,thunder.v,titter.v,babble.n,trill.v,gasp.v,bleat.v,trumpet.v,groan.v,twitter.v,grate.v,wail.v,bawl.v,growl.v,warble.v,bray.v,grunt.v,wheeze.v,cackle.v,gurgle.v,whimper.v,chuckle.v,hiss.v,whine.v,bellow.v,hoot.v,whoop.v,bark.v,howl.v,yell.v,chirp.v,moan.v,yelp.v,chirrup.v,cluck.v,murmur.v,purr.v,burble.v,rap.v,rasp.v,rattle.v,roar.v,rumble.v,coo.v
Rest	3	complement.v,complement.n,rest.n
Sex	25	bed.v,jump.v,take.v,fuck.v,jump (someone's) bones.idio,have.v,quickie.n,make whoopee.a,lay.v,copulate.v,slam.v,sex.n,do it.v,bone.v,mate.v,bump uglies.v,pork.v,shag.v,knock boots.v,make love.v,go at it.v,intercourse.n,give.v,bang.v,do.v
Location_on_path	0	
Attention	8	close.a,attention.n,closely.adv,alert.a,attend.v,keep an eye.v,ignore.v,attentive.a
Exporting	4	export [act].n,export [entity].n,export.v,exportation.n
Trap	2	trap.n,snare.n
Store	7	inventory.n,store.n,stockpile.n,supply.n,stock.n,reserve.n,cargo.n
Holding_off_on	2	hold off.v,wait.v
Dressing	8	don.v,put on.v,pull on.v,dress.v,get on.v,throw on.v,dress up.v,slip on.v
Judgment_communication	84	reprehension.n,derision.n,belittlement.n,disparage.v,belittling.n,disparagement.n,recrimination.n,disparaging.a,recriminate.v,extol.v,critic.n,laud.v,critique.n,execrate.v,mocking.a,critique.v,praise.n,harangue.n,acclaim.v,praise.v,acclaim.n,remonstrance.n,accusation.n,remonstrate.v,accuse.v,ridicule.v,belittle.v,ridicule.n,kudos.n,blast.v,scathing.a,censure.v,reprehend.v,scoff.v,censure.n,mock.v,charge.v,cite.v,commend.v,castigate.v,commendation.n,slam.v,excoriate.v,deprecatory.a,condemn.v,harangue.v,deprecation.n,condemnation.n,dump.v,deprecative.a,criticism.n,critical.a,blame.v,criticize.v,tout.v,execration.n,damn.v,gibe.v,charge.n,execrative.a,decry.v,pin.v,denigrative.a,rave.v,laudable.a,denigrate.v,hail.v,rip.v,laudatory.a,denigration.n,attack.v,commendable.a,denounce.v,attack.n,denunciative.a,commendatory.a,denouncement.n,malediction.n,denunciation.n,excoriation.n,denunciatory.a,maledictory.a,deprecate.v,deride.v
Smuggling	5	contraband.a,smuggler.n,contraband.n,smuggle.v,smuggling.n
Product_development_scenario	0	
Being_employed	17	work.n,at.prep,position.n,work.v,farm (out).v,employ.n,jobless.a,unemployed.a,clerk.v,wait tables.idio,employment.n,subcontract.v,employed.a,job.n,stint.n,unemployment.n,temp.v
Temporal_subregion	13	middle.n,outset.n,dawning.n,early.a,mid.a,start.n,late.a,end.n,turn.n,middle.a,earlier.a,later.a,beginning.n
Shoot_projectiles	6	fire off.v,fire.v,shoot.v,fire.n,launch.n,launch.v
Labor_product	3	output.n,work.n,oeuvre.n
Ceasing_to_be	8	dissipation.n,fade.v,vanish.v,dissolve.v,dissipate.v,go away.v,disappearance.n,disappear.v
Finish_game	2	win.v,lose.v
Judgment	55	admiration.n,appreciate.v,reverence.n,esteem.v,mockery.n,admire.v,fault.n,exaltation.n,fault.v,accolade.n,mock.v,vilification.n,approving.a,reproachful.a,contemptuous.a,damnation.n,value.v,blame.n,scorn.n,blame.v,deplore.v,respect.n,scorn.v,derisive.a,respect.v,scornful.a,critical.a,disapproval.n,deify.v,stigma.n,approbation.n,disapprove.v,revere.v,reproach.n,stigmatize.v,disapproving.a,reprehensible.a,appreciation.n,admiring.a,stricture.n,disdain.n,appreciative.a,uncritical.a,set store.v,disdain.v,accuse.v,exalt.v,applaud.v,disdainful.a,prize.v,approve.v,contempt.n,disrespect.n,boo.v,esteem.n
Deserving	8	grounds.n,worth.a,call.v,deserve.v,warrant.v,merit.v,warrant.n,justify.v
Personal_success	7	success [person].n,successful.a,success [event].n,make it.v,success [state].n,arrive.v,succeed.v
Mental_property	66	brilliant.a,foolish.a,enlightenment.n,sensible.a,bull-headed.a,enlightened.a,irrational.a,broad-minded.a,forgetful.a,ludicrous.a,moronic.a,absurdity.n,naive.a,stupid.a,absurd.a,sagacious.a,nonsensical.a,brilliance.n,perceptive.a,ridiculous.a,reasonable.a,foolishness.n,crackers.a,narrow-minded.a,canny.a,common sense.n,sage.a,smart.a,astuteness.n,absent-minded.a,unreasonable.a,brainless.a,foxy.a,intelligent.a,wise.a,idiotic.a,astute.a,crazy.a,curious.a,suspicious.a,shrewd.a,daft.a,carefully.adv,crafty.a,ill-advised.a,wit.n,cunning.a,inane.a,insightfully.adv,insightful.a,acquisitive.a,ingenious.a,careless.a,perceptively.adv,narrow-mindedly.adv,carelessness.n,dim.a,carelessly.adv,cynical.a,discerning.a,inattentive.a,diligent.a,sense.n,dim-witted.a,stupidly.adv,discernment.n
Sacrificing_for	2	compromise.v,sacrifice.v
Race_descriptor	6	black.a,asian.a,hispanic.a,yellow.a,white.a,color.n
Offenses	26	felony.n,manslaughter.n,possession.n,hijacking.n,larceny.n,homicide.n,murder.n,battery.n,robbery.n,fraud.n,burglary.n,negligence.n,treason.n,sexual harassment.n,kidnapping.n,indecent assault.n,theft.n,sexual assault.n,statutory rape.n,rape.n,sabotage.n,assault.n,copyright infringement.n,child abuse.n,conspiracy.n,arson.n
Evaluative_comparison	8	comparable.a,stack up.v,rival.v,match.v,compare.v,equal.v,match.n,measure up.v
Aiming	5	direct.v,aim.n,target.n,aim.v,target.v
Commerce_buy	6	buy.v,purchaser.n,buyer.n,purchase [act].n,purchase.v,client.n
Affirm_or_deny	10	confirm.v,refute.v,affirmation.n,confirmation.n,deny.v,affirm.v,concede.v,denial.n,reaffirm.v,attest.v
Cause_to_rot	2	rot.v,putrefy.v
Reparation	4	make up.v,reparation.n,restitution.n,amends.n
Performers_and_roles	16	co-star (in).v,lead.n,appear.v,co-star.n,star (in).v,role.n,star.n,play.v,feature.v,as.prep,be.v,act.v,star.v,part.n,character.n,co-star.v
Political_actions	3	strike.v,walk-out.n,strike.n
Filling	59	drape.v,dab.v,douse.v,daub.v,flood.v,inject.v,fill.v,crowd.v,cram.v,pave.v,sow.v,varnish.v,seed.v,paint.v,brush.v,gild.v,hang.v,strew.v,glaze.v,spatter.v,embellish.v,splash.v,panel.v,splatter.v,wax.v,spray.v,wash.v,sprinkle.v,plank.v,squirt.v,yoke.v,shower.v,dress.v,drizzle.v,accessorize.v,heap.v,pile.v,pump.v,jam.v,adorn.v,plant.v,anoint.v,scatter.v,cover.v,butter.v,dust.v,asphalt.v,load.v,surface.v,pack.v,tile.v,plaster.v,wallpaper.v,smear.v,coat.v,spread.v,suffuse.v,stuff.v,wrap.v
